hotel_name,property_type,city,address,facilities,rating,min_price,max_price,latitude,longitude
Alam Permai Hotel,Hotel,"Cidadap, Bandung","Jl. Dr. Setiabudi No.432, Isola, Sukasari, Kota Bandung, Jawa Barat 40154, Indonesia","['tiket CLEAN', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Antar Jemput Bandara', 'Fasilitas Rapat', 'tiket CLEAN', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Antar Jemput Bandara', 'Fasilitas Rapat', 'Ruang Merokok', 'Fasilitas rapat', 'Ruang merokok khusus', 'Restoran', 'Ruang Tamu', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Layanan Laundry/Dry Cleaning', 'Brankas Hotel', 'Layanan Concierge', 'Resepsionis 24 Jam']",3.8,200000,200000,-6.84353,107.600637
Smart Capsule by Buton,Capsule Hotel,"Cicendo, Bandung","Jl. H. Akbar No.19, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat , Indonesia","['WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'Teras', 'Ruang Merokok', 'AC', 'Tempat berjemur', 'Ruang merokok khusus', 'WiFi Publik', 'Ruang Tamu', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Layanan Laundry/Dry Cleaning', 'Penitipan Bagasi', 'Tur', 'Staf Multibahasa', 'Resepsionis 24 Jam']",4.1,110000,110000,-6.911003,107.600059
Andelir Hotel Bandung,Hotel,"Sukajadi, Bandung","Jl. Prof. Eyckman No.19 - 21, Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat 40161","['tiket CLEAN', 'Kolam Renang', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Lift', 'Fasilitas Rapat', 'tiket CLEAN', 'Kolam Renang', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Lift', 'Fasilitas Rapat', 'Kolam Renang Anak', 'Fasilitas rapat', 'WiFi Publik', 'Lift', 'Kolam Renang', 'Restoran', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan']",4.0,399999,299999,-6.895785,107.600941
Rooms Inc BTC Bandung,Hotel,"Cicendo, Bandung",Jl. Djundjunan No. 143-149,"['InDOnesia CARE', 'tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'Lift', 'AC', 'Fasilitas Rapat', 'InDOnesia CARE', 'tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'Lift', 'AC', 'Fasilitas Rapat', 'Hasil PCR Tidak Diperlukan', 'Bukti Vaksin Covid-19', 'Fasilitas Ramah Difabel', 'Penyimpanan Barang', 'AC', 'WiFi Publik', 'Lift', 'Pemadam Api', 'Parkir (Biaya Tambahan)', 'ATM/Bank', 'Hewan Peliharaan Tidak Diperbolehkan', 'Penitipan Bagasi', 'Resepsionis 24 Jam', 'Staf Multibahasa']",4.0,540000,376000,-6.8954,107.58886
Amaryllis Hotels,Hotel,"Sukajadi, Bandung","Jl. Lamping No.18, RT.001/RW.005, Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat 40161","['tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Lift', 'AC', 'Fasilitas Rapat', 'tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Lift', 'AC', 'Fasilitas Rapat', 'AC', 'Fasilitas rapat', 'WiFi Publik', 'Lift', 'Restoran', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Staf Multibahasa', 'Kotak P3K']",4.0,590000,339900,-6.887111,107.600802
Hotel Bumi Asih Gedung Sate Bandung,Hotel,"Bandung Wetan, Bandung","Jl. Cilamaya No.1, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat","['tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'Teras', 'Ruang Merokok', 'AC', 'WiFi Publik', 'Restoran', 'Ruang Tamu', 'ATM/Bank', 'Ruang merokok khusus', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Penitipan Bagasi', 'Check-in Tanpa Antre', 'Resepsionis 24 Jam', 'Layanan Laundry/Dry Cleaning', 'Check-out Tanpa Antre']",4.0,810001,280500,-6.903321,107.616673
Wirton Dago Hotel,Hotel,"Coblong, Bandung","Jl. Ir. H.Djuanda No.395, Dago, Coblong, Kota Bandung, Jawa Barat 40135, Indonesia","['tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'Lift', 'AC', 'Fasilitas Ramah Difabel', 'tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'Lift', 'AC', 'Fasilitas Ramah Difabel', 'Teras', 'Ruang Merokok', 'AC', 'Ruang merokok khusus', 'Lift', 'Ruang Tamu', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Resepsionis 24 Jam']",3.9,396750,253000,-6.869186,107.620191
Sapadia Guest House,Guest House,"Coblong, Bandung","Jl. Mundinglaya No. 2, Dago, Bandung","['tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Antar Jemput Bandara', 'Fasilitas Rapat', 'Penyimpanan Barang', 'tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Antar Jemput Bandara', 'Fasilitas Rapat', 'Penyimpanan Barang', 'Ruang Merokok', 'AC', 'Fasilitas rapat', 'WiFi Publik', 'Ruang merokok khusus', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Penitipan Bagasi', 'Tur', 'Rak Koran', 'Layanan Pernikahan', 'Resepsionis 24 Jam', 'Layanan Laundry/Dry Cleaning', 'Staf Multibahasa']",3.8,319999,237515,-6.897999,107.610593
Cherry Homes Express Hotel,Hotel,"Sukajadi, Bandung",Jl. Surya Sumantri No. 93,"['InDOnesia CARE', 'tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'InDOnesia CARE', 'tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'Ruang Merokok', 'AC', 'ATM/Bank', 'Ruang merokok khusus', 'WiFi Publik', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Penitipan Bagasi', 'Resepsionis 24 Jam']",3.9,317779,235877,-6.88356,107.58147
Hotel Sabang Bandung,Hotel,"Bandung Wetan, Bandung","Jl. Sabang No.101, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115, Indonesia","['tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'AC', 'Antar Jemput Bandara', 'Fasilitas Rapat', 'tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'AC', 'Antar Jemput Bandara', 'Fasilitas Rapat', 'Ruang Atap Terbuka', 'AC', 'Fasilitas rapat', 'WiFi Publik', 'Kursi Tinggi', 'Restoran', 'Parkir (Gratis)', 'Kursi Bayi', 'Hewan Peliharaan Tidak Diperbolehkan']",3.7,450000,150000,-6.909453,107.624075
CT 195 Bandung,Kos,"Sukajadi, Bandung","Jl. Cipedes Tengah No.195, Sukagalih, Kec. Sukajadi, Kota Bandung, Jawa Barat","['tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'Ruang Merokok', 'AC', 'Parkir (Biaya Tambahan)', 'Ruang merokok khusus', 'WiFi Publik', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Penitipan Bagasi', 'Staf Multibahasa', 'Resepsionis 24 Jam']",3.8,230000,100000,-6.880038,107.5901132
Bantal Guling Trans,Guest House,"Batununggal, Bandung","Jl. Gatot Subroto No.194, Gumuruh, Kec. Batununggal, Kota Bandung, Jawa Barat 40274","['tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'Penyimpanan Barang', 'tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'Penyimpanan Barang', 'WiFi Publik', 'Ruang Tamu', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Penitipan Bagasi', 'Resepsionis 24 Jam']",3.6,378000,98753,-6.930281,107.639358
Ariandri Boutique Hotel,Hotel,"Sukajadi, Bandung","Jl. Sukakarya No.15, Sukagalih, Kec. Sukajadi, Kota Bandung, Jawa Barat","['tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'AC', 'Fasilitas Anak', 'Area Kerja', 'tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'AC', 'Fasilitas Anak', 'Area Kerja', 'Penyimpanan Barang', 'Bersepeda/Bersepeda Gunung', 'Teras', 'Ruang Merokok', 'AC', 'Lounge', 'Tempat berjemur', 'WiFi Publik', 'Restoran', 'Ruang Tamu', 'Gazebo', 'Ruang merokok khusus', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan']",3.5,449999,204999,-6.887988,107.582531
OYO Flagship 90641 Sky City Home,hotel,"Coblong, Bandung","Jalan Dago Asri no 1c  Cisitu Lama, Ciumbuleuit, Jawa Barat, 40135, Indonesia, Bandung","['WiFi', 'Parkir', 'AC', 'WiFi', 'Parkir', 'AC', 'AC', 'WiFi Publik', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Check-out Tanpa Antre', 'Staf Multibahasa', 'Check-in Tanpa Antre']",3.5,154790,116093,-6.879829,107.613808
Hotel Lotus Bandung,Resort,"Coblong, Bandung","Jl. Tubagus Ismail VIII No. 45, Bandung 40134","['tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'AC', 'Antar Jemput Bandara', 'Fasilitas Rapat', 'tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'AC', 'Antar Jemput Bandara', 'Fasilitas Rapat', 'Penyimpanan Barang', 'Teras', 'Ruang Merokok', 'AC', 'Fasilitas rapat', 'WiFi Publik', 'Restoran', 'Parkir (Biaya Tambahan)', 'Ruang merokok khusus', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Penitipan Bagasi', 'Resepsionis 24 Jam', 'Layanan Laundry/Dry Cleaning', 'Staf Multibahasa', 'Layanan Concierge']",3.5,259999,149999,-6.880683,107.621006
Budi House & Food Station,Hostel,"Cicendo, Bandung","Jl. Budhi No.27, 02, Sukaraja, Cicendo, Kota Bandung, Jawa Barat 40175, Indonesia","['WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'AC', 'Antar Jemput Bandara', 'Fasilitas Ramah Difabel', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'AC', 'Antar Jemput Bandara', 'Fasilitas Ramah Difabel', 'Karaoke', 'AC', 'WiFi Publik', 'Restoran', 'Ruang Tamu', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan']",3.3,200000,115188,-6.890753,107.558874
Hotel Cihampelas 2,Hotel,"Coblong, Bandung","Jl. Cihampelas No.222, Cipaganti, Kecamatan Coblong, Kota Bandung, Jawa Barat","['WiFi', 'Parkir', 'Restoran', 'Lift', 'AC', 'Fasilitas Rapat', 'WiFi', 'Parkir', 'Restoran', 'Lift', 'AC', 'Fasilitas Rapat', 'Ruang Merokok', 'AC', 'Fasilitas rapat', 'Ruang merokok khusus', 'WiFi Publik', 'Lift', 'Restoran', 'Parkir (Gratis)', 'Layanan Laundry/Dry Cleaning', 'Tur', 'Kafe atau Kedai Kopi']",3.2,275000,275000,-6.88999,107.604378
Hotel Citradream Bandung,Hotel,"Cicendo, Bandung","Jl. Pasir Kaliki No.36-42, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat","['WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Lift', 'AC', 'Antar Jemput Bandara', 'Fasilitas Rapat', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Lift', 'AC', 'Antar Jemput Bandara', 'Fasilitas Rapat', 'Penyimpanan Barang', 'AC', 'Fasilitas rapat', 'WiFi Publik', 'Lift', 'Restoran', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Layanan Laundry/Dry Cleaning', 'Brankas Hotel', 'Penitipan Bagasi', 'Resepsionis 24 Jam']",4.3,354088,300000,-6.911884,107.598178
OYO Flagship 91295 Suria City Hotel Syariah,Hotel,"Lengkong, Bandung","75, Jl. Pelajar Pejuang 45 No 75, Lkr. Sel., Kec Lengkong,Kota Bandung., Bandung","['WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'AC', 'WiFi Publik', 'Parkir (Gratis)', 'Check-out Tanpa Antre', 'Penitipan Bagasi', 'Check-in Tanpa Antre', 'Resepsionis 24 Jam', 'Shower', 'Pelayanan Kamar Terbatas', 'Layanan kamar 24 jam']",3.6,304056,150576,-6.929972,107.626586
